date,kota_administrasi,kecamatan,kelurahan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_luka_ringan,ketinggian_min,ketinggian_max
20/02/2020,Jakarta Selatan,PESANGGRAHAN,BINTARO,1,1,0,0,0,10,30
25/02/2020,Jakarta Selatan,PESANGGRAHAN,PETUKANGAN SELATAN,2,4,0,0,0,10,30
23/02/2020,Jakarta Selatan,SETIABUDI,GUNTUR,1,1,,0,0,40,40
22/02/2020,Jakarta Selatan,SETIABUDI,KARET SEMANGGI,1,1,0,0,0,10,80
23/02/2020,Jakarta Selatan,SETIABUDI,PASAR MANGGIS,1,1,0,0,0,40,40
23/02/2020,Jakarta Selatan,SETIABUDI,KARET,2,2,0,0,0,20,30
23/02/2020,Jakarta Selatan,SETIABUDI,MENTENG ATAS,1,1,0,0,0,20,20
8/2/2020,Jakarta Selatan,TEBET,MANGGARAI,6,9,4,15,15,10,80
23/02/2020,Jakarta Selatan,TEBET,MANGGARAI SELATAN,2,2,0,0,0,20,30
8/2/2020,Jakarta Selatan,TEBET,BUKIT DURI,4,4,0,0,0,10,100
8/2/2020,Jakarta Selatan,TEBET,KEBON BARU,8,8,105,420,420,10,60
23/02/2020,Jakarta Selatan,TEBET,MENTENG DALAM,4,6,0,0,0,10,130
8/2/2020,Jakarta Timur,CAKUNG,CAKUNG BARAT,5,11,24,98,98,10,100
22/02/2020,Jakarta Timur,CAKUNG,CAKUNG TIMUR,7,23,275,630,193,5,100
8/2/2020,Jakarta Timur,CAKUNG,PENGGILINGAN,3,5,0,0,0,10,50
1/2/2020,Jakarta Timur,CAKUNG,RAWA TERATE,3,13,641,2564,471,30,250
16/02/2020,Jakarta Timur,CAKUNG,JATINEGARA,5,6,0,0,0,10,60
16/02/2020,Jakarta Timur,CAKUNG,PULO GEBANG,6,7,0,0,0,10,90
8/2/2020,Jakarta Timur,CIPAYUNG,BAMBU APUS,3,5,0,0,0,20,50
16/02/2020,Jakarta Timur,CIPAYUNG,CIPAYUNG,2,2,0,0,0,10,35
8/2/2020,Jakarta Timur,CIPAYUNG,LUBANG BUAYA,4,10,0,0,80,10,60
28/02/2020,Jakarta Timur,CIPAYUNG,SETU,1,2,0,0,0,30,30
25/02/2020,Jakarta Timur,CIPAYUNG,CILANGKAP,3,7,0,0,0,15,40
15/02/2020,Jakarta Timur,CIRACAS,CIBUBUR,5,14,0,0,0,10,100
25/02/2020,Jakarta Timur,CIRACAS,KELAPA DUA WETAN,4,7,0,0,0,5,40
16/02/2020,Jakarta Timur,CIRACAS,RAMBUTAN,5,18,774,2286,10,10,60
23/02/2020,Jakarta Timur,CIRACAS,SUSUKAN,1,4,0,0,0,30,40
16/02/2020,Jakarta Timur,DUREN SAWIT,KLENDER,7,7,0,0,0,10,80
23/02/2020,Jakarta Timur,DUREN SAWIT,MALAKA JAYA,6,13,0,0,0,20,100
23/02/2020,Jakarta Timur,DUREN SAWIT,PONDOK BAMBU,4,7,50,130,0,20,70
8/2/2020,Jakarta Timur,DUREN SAWIT,PONDOK KELAPA,7,16,386,2132,320,10,100
8/2/2020,Jakarta Timur,DUREN SAWIT,PONDOK KOPI,6,32,0,0,0,10,60
8/2/2020,Jakarta Timur,DUREN SAWIT,DUREN SAWIT,8,9,0,0,0,10,50
25/02/2020,Jakarta Timur,DUREN SAWIT,MALAKA SARI,1,1,0,0,0,30,70
8/2/2020,Jakarta Timur,JATINEGARA,BIDARA CINA,13,23,1185,3904,479,10,100
25/02/2020,Jakarta Timur,JATINEGARA,CIPINANG BESAR UTARA,1,1,0,0,0,10,20
8/2/2020,Jakarta Timur,JATINEGARA,CIPINANG MUARA,3,4,191,708,213,10,80
6/2/2020,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,6,29,392,2185,858,10,150
8/2/2020,Jakarta Timur,JATINEGARA,RAWA BUNGA,5,6,0,0,0,10,70
23/02/2020,Jakarta Timur,JATINEGARA,CIPINANG CEMPEDAK,1,1,0,0,0,50,50
8/2/2020,Jakarta Timur,KRAMAT JATI,BALE KAMBANG,3,8,60,244,230,20,100
23/02/2020,Jakarta Timur,KRAMAT JATI,BATU AMPAR,5,5,0,0,0,10,60
8/2/2020,Jakarta Timur,KRAMAT JATI,CAWANG,11,30,0,0,58,10,150
13/08/2020,Jakarta Urata,CILINCING,CILINCING,1,1,0,0,0,10,10
1/3/2020,Jakarta Utara,CILINCING,ROROTAN,1,1,0,0,0,30,30
2/3/2020,Jakarta Utara,PENJARINGAN,KAPUK MUARA,1,1,0,0,0,10,10
1/3/2020,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,3,6,0,0,0,20,40
1/3/2020,Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,1,1,0,0,0,15,25
2/3/2020,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,2,4,0,0,0,10,30
22/03/2020,Jakarta Barat,CENGKARENG,RAWA BUAYA,5,13,0,0,0,10,50
22/03/2020,Jakarta Barat,CENGKARENG,CENGKARENG BARAT,5,12,0,0,0,5,30
22/03/2020,Jakarta Barat,KALIDERES,KALIDERES,1,1,0,0,0,15,15
22/03/2020,Jakarta Barat,KALIDERES,SEMANAN,4,11,0,0,0,5,30
22/03/2020,Jakarta Barat,PALMERAH,KOTA BAMBU UTARA,1,1,0,0,0,10,10
22/03/2020,Jakarta Barat,PALMERAH,PALMERAH,1,1,0,0,0,20,20
1/3/2020,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,5,10,170,517,0,10,160
16/03/2020,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,2,3,0,0,0,55,100
1/3/2020,Jakarta Selatan,PANCORAN,PENGADEGAN,1,1,0,0,0,90,90
1/3/2020,Jakarta Selatan,PANCORAN,RAWAJATI,1,3,0,0,0,10,40
20/03/2020,Jakarta Selatan,PANCORAN,DUREN TIGA,1,1,0,0,0,60,60
1/3/2020,Jakarta Selatan,TEBET,KEBON BARU,3,3,0,0,0,5,60
1/3/2020,Jakarta Selatan,TEBET,BUKIT DURI,1,1,0,0,0,80,80
2/3/2020,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,1,2,0,0,0,20,100
2/3/2020,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,3,7,0,0,0,10,115
2/3/2020,Jakarta Selatan,PESANGGRAHAN,BINTARO,4,5,0,0,0,10,60
16/03/2020,Jakarta Selatan,CILANDAK,LEBAK BULUS,1,1,0,0,0,70,70
16/03/2020,Jakarta Selatan,CILANDAK,CIPETE SELATAN,1,1,0,0,0,15,15
16/03/2020,Jakarta Selatan,CILANDAK,PONDOK LABU,4,7,0,0,0,10,50
16/03/2020,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,3,4,0,0,0,20,40
16/03/2020,Jakarta Selatan,MAMPANG PRAPATAN,KUNINGAN BARAT,1,3,0,0,0,40,40
16/03/2020,Jakarta Selatan,JAGAKARSA,CIPEDAK,1,1,0,0,0,70,70
20/03/2020,Jakarta Selatan,SETIABUDI,MENTENG ATAS,5,5,0,0,0,10,60
1/3/2020,Jakarta Timur,JATINEGARA,CIPINANG MUARA,1,2,118,456,65,5,50
1/3/2020,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,4,25,326,1068,186,25,110
1/3/2020,Jakarta Timur,JATINEGARA,BIDARA CINA,5,12,1711,4838,26,20,140
1/3/2020,Jakarta Timur,KRAMAT JATI,CAWANG,6,15,0,0,0,10,115
1/3/2020,Jakarta Timur,KRAMAT JATI,CILILITAN,2,6,10,43,0,5,100
16/03/2020,Jakarta Timur,KRAMAT JATI,TENGAH,1,1,0,0,0,70,70
1/3/2020,Jakarta Timur,CIPAYUNG,LUBANG BUAYA,1,1,0,0,0,20,20
1/3/2020,Jakarta Timur,CIPAYUNG,PONDOK RANGGON,1,1,4,10,10,20,80
